experiment,config_id,git_commit,dataset,regime,gamma_e,covariate_tail,budget_fraction,dr_variant,seed,split_id,method,pehe,regret,normalized_regret,decision_agreement,boundary_crossing,dfi,dfi_competitor_coverage,nuisance,method_config,decision_config,bootstrap_replicates,metric_config,estimated_e_min,estimated_e_max,runtime_seconds_scenario,failure_status
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,0,generated-1-2-3,Oracle,0.0,0.0,0.0,1.0,0.0,8.564581818456495e-15,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 0}","{""oracle"": true}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.007894976865935809,0.989526353292964,45.23427454200282,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,0,generated-1-2-3,MSE-DR,1.2195400934049787,2.485810997462686,0.48067534968426273,0.0,1.0,26.188109731942912,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 0}","{""l2"": 0.01}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.007894976865935809,0.989526353292964,45.23427454200282,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,0,generated-1-2-3,MAE-DR,0.7540005880059856,2.1760114605646934,0.4243271819967837,0.0,1.0,23.267546753839273,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 0}","{""epochs"": 60, ""l2"": 0.01, ""lr"": 0.2}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.007894976865935809,0.989526353292964,45.23427454200282,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,0,generated-1-2-3,CPO+,0.6755304831744741,1.7355981547391315,0.3441846580734588,0.0,1.0,20.057204111524953,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 0}","{""epochs"": 60, ""l2"": 0.0001, ""lr"": 0.2}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.007894976865935809,0.989526353292964,45.23427454200282,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,0,generated-1-2-3,DC-CPO(band),0.7592088017736387,1.970109787342908,0.3827707453688019,0.0,1.0,31.985004419245584,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 0}","{""band_quantile"": 0.2, ""boundary_penalty"": 0.1, ""epochs"": 60, ""l2"": 0.0001, ""lr"": 0.2, ""outer_rounds"": 4}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.007894976865935809,0.989526353292964,45.23427454200282,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,1,generated-11-12-13,Oracle,0.0,0.0,0.0,1.0,0.0,1.9371411790906957e-14,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 1}","{""oracle"": true}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.00777200789443071,0.997663215380786,42.997982290995424,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,1,generated-11-12-13,MSE-DR,0.5205090945817062,0.6903753699779617,0.12533648380518347,0.08,0.92,54.64562381546324,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 1}","{""l2"": 0.01}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.00777200789443071,0.997663215380786,42.997982290995424,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,1,generated-11-12-13,MAE-DR,0.268737811192322,0.2813231139354155,0.04986083453627772,0.2,0.8,60.36733073746736,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 1}","{""epochs"": 60, ""l2"": 0.01, ""lr"": 0.2}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.00777200789443071,0.997663215380786,42.997982290995424,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,1,generated-11-12-13,CPO+,0.46250230895854016,0.45538843286553005,0.08244627696880695,0.2,0.8,54.43806494038559,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 1}","{""epochs"": 60, ""l2"": 0.01, ""lr"": 0.1}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.00777200789443071,0.997663215380786,42.997982290995424,ok
experiment_1,6769fa59109e,4b2d4fe827362d76a3b96b1d750db958fb604613,synthetic,near_linear,2.0,gaussian,0.3,standard,1,generated-11-12-13,DC-CPO(band),0.6915640372573542,0.46333007575943924,0.08746507998241268,0.16,0.84,15.494264590944319,1.0,"{""fixed_clip"": null, ""folds"": 5, ""numerical_guard"": 1e-06, ""ridge_alpha"": 1.0, ""seed"": 1}","{""band_quantile"": 0.05, ""boundary_penalty"": 0.3, ""epochs"": 60, ""l2"": 0.01, ""lr"": 0.1, ""outer_rounds"": 4}","{""budget_fraction"": 0.3, ""cost"": [0.3, 1.2], ""groups"": ""within_batch_X1_median"", ""m"": 16}",100,"{""dfi"": ""exact_all_positive_margin_competitors"", ""dfi_radius"": 1.0, ""pehe"": ""root_mean_squared_cate_error"", ""pipeline_bootstrap_replicates"": 100}",0.00777200789443071,0.997663215380786,42.997982290995424,ok
