,,pehe,pehe,pehe,regret,regret,regret,normalized_regret,normalized_regret,normalized_regret,dfi,dfi,dfi,boundary_crossing,boundary_crossing,boundary_crossing
,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
regime,method,,,,,,,,,,,,,,,
near_linear,CPO+,0.6431804766275836,0.6546340372508457,0.1440551017066459,0.9310898770760008,0.8428909170648503,0.37432472992055077,0.17539751513769172,0.16057988913651589,0.0658844363314002,130.09076041458107,22.96683741303018,543.9069317790163,0.9244,0.9299999999999999,0.05380084211464442
near_linear,DC-CPO(band),0.737868191084949,0.6906613991835313,0.17496148773157974,1.0208647791835301,0.905969586017247,0.42484242319252535,0.19126345592259608,0.17644657339081946,0.07555848235906154,46.06459496932296,30.62564347315178,48.04108990166091,0.94,0.95,0.04712120714991612
near_linear,MAE-DR,0.6669320418477885,0.6105087416124844,0.26247391329612285,1.063528950058437,0.9389783232466589,0.47840019933123534,0.19994133012597134,0.1807614420280897,0.08728100145003476,40.54525473235135,27.434626387598733,43.70991951383529,0.9372,0.94,0.053758340596352754
near_linear,MSE-DR,1.091412377921016,0.9495379437910156,0.6776918354596685,1.5176727824893592,1.3395458058139345,0.6127680428025647,0.2843153382363105,0.25864119362144455,0.10996893286134335,88.48242109763329,27.20131929401532,325.4132140600114,0.9688,0.98,0.0441074754180638
near_linear,Oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800734254028264e-14,1.8717595272014114e-14,5.111245296562093e-14,0.0,0.0,0.0
nonlinear,CPO+,0.7184306586262337,0.6903145906632804,0.1312383743465618,1.1400090043176578,1.0658822095054443,0.3310625367726562,0.1975267134596055,0.18533880304880065,0.05736160982076857,89.31899924965252,19.975343873116472,359.64564706865434,0.9556,0.96,0.03620576118323081
nonlinear,DC-CPO(band),0.7679359708266057,0.7409553926902566,0.16321335601348477,1.1813434546411694,1.1413109086049282,0.3243046431546639,0.2046945775478763,0.19995816241234,0.0553635197484554,42.31168801383137,23.57644831050038,50.67236648720631,0.9567999999999999,0.96,0.03530855247034379
nonlinear,MAE-DR,0.750044811322433,0.6983385434673721,0.215601150336968,1.284861564671459,1.2481075947198688,0.33912130152163306,0.22200566676663486,0.2178311550832457,0.05933123652529293,44.82668068036966,22.58262905772058,53.90603208702519,0.9703999999999999,0.98,0.03162019504515868
nonlinear,MSE-DR,1.110224452876597,0.9720041661864944,0.6234605375750905,1.7786102876188687,1.7332829281539337,0.5547743590043376,0.30648586870970823,0.3028886699695278,0.09433054357313413,60.84815926983631,29.53699683953046,92.83291163215436,0.9788,0.98,0.026313649751893146
nonlinear,Oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508884313778619e-14,1.7210281078788925e-14,4.300926485155102e-14,0.0,0.0,0.0
